DATE,% Worry,% Stress
1/1/2001,42,49
1/1/2002,41,48
1/1/2003,33,48
1/1/2004,37,44
1/1/2005,37,49
1/1/2006,38,46
1/1/2007,40,47
1/1/2008,34,44
1/1/2009,,
1/1/2010,33,47
1/1/2011,,
1/1/2012,,
1/1/2013,,
1/1/2014,42,53
1/1/2015,,
1/1/2016,,
1/1/2017,44,44
1/1/2018,38,46
4/1/2018,37,46
7/1/2018,37,44
10/1/2018,40,48
1/1/2019,36,44
4/1/2019,38,47
7/1/2019,38,46
3/6/2020,58,60
3/21/2020,59,60
4/7/2020,55,56
4/15/2020,52,56
4/23/2020,53,57
4/27/2020,47,53
5/25/2020,48,52
6/15/2020,46,52
7/6/2020,49,54
7/31/2020,47,55
9/1/2020,45,51
10/1/2020,45,52
11/1/2020,50,54
12/1/2020,45,52
1/1/2021,41,45
2/1/2021,43,45
3/1/2021,41,46
4/1/2021,38,45
5/1/2021,38,47
6/1/2021,38,47
7/1/2021,38,43
8/1/2021,44,46
9/1/2021,44,47
10/1/2021,39,45
11/1/2021,42,48
2/1/2022,40,47
4/1/2022,41,45
7/1/2022,42,48
